companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:TATACAP,C,Tata Capital Ltd,152539.37,359.35,Finance - AMC,Finance,null,5.09,33.63,11.03,7.5,3.53,-0.18,10.16,7.24,null,346.41,59.5,1.41,315.1,5.88,6.56,null,null,null,null,8.62,14.43,0.94,7.69,14.04,1.41,-817.3,-568.56,null,15.75,2506.18,1194.44,213294.5,148185.29
NSE:TATACHEM,C,Tata Chemicals Ltd,19235.37,755.05,Chemicals - Inorganic - Caustic Soda/Soda Ash,Chemicals,87.39,1.31,-1.99,-310.53,-51.27,0.86,1.08,-0.11,-18.01,-19.69,760.01,13.69,26.45,742.25,0.34,0.32,1.84,0.17,37.98,0,3.6,502.41,4.25,-3.05,1.72,44.03,497.46,90.17,2099,1913,20171,17913,7495,5563
NSE:TATACOMM,C,Tata Communications Ltd,50006.1,1754.6,Telecom Services,Telecom-Service,30.32,2.1,5.74,75.68,-6.06,17.56,0.74,-3.85,-10.99,1.77,1785.24,13.65,12.45,1291,4.68,5.65,5.57,-4.46,58.86,0,15.94,50.95,2.35,6.49,35.91,19.33,183.86,63.71,1223.82,1099.92,14034.48,13617.91,13330.99,11263.17
NSE:TCS,C,Tata Consultancy Services Ltd,1160212.12,3206.7,IT - Software,IT - Software,24.32,4.45,3.46,-2.13,-11.63,10.97,-0.03,0.05,7.94,-0.82,3253.27,16.43,25.32,2866.6,0.1,0.09,1.78,-2.33,71.77,0,55.15,-3.42,1.96,4.87,11.86,30.17,100.23,72.56,2221,1546,24149,19604,10932,8021
NSE:TATACONSUM,C,Tata Consumer Products Ltd,117666.92,1189.1,FMCG - Foods,Plantation & Plantation Products,86.29,6.26,15.34,15.4,14.61,5.79,1.12,1.64,3.46,9.95,1185.46,47.38,2.6,926.05,0.13,0.1,3.43,-2.3,33.84,0,9.11,23.07,3.91,17.83,28.41,5.13,149,82.95,253.84,218.1,21690.64,19376.11,2576.11,3477.22
NSE:TATAELXSI,S,Tata Elxsi Ltd,34919.89,5605.5,IT - ER&D,IT - Software,60.15,9.51,-1.47,-28.28,-29.67,12.92,-1.5,12.15,3.74,-11.18,5445.7,40.98,16.77,4700,0.06,0.09,2.99,-1.12,43.9,-0.01,27.7,-27.17,3.85,1.52,19.27,47.9,103.44,83.46,0.06,1.62,null,395.98,169.1,223.98
NSE:TATAINVEST,C,Tata Investment Corporation Ltd,33577.57,663.65,Finance - Holding Company,Finance,153.62,105.07,-18.6,-4.53,1.27,1.06,-0.7,-6.89,-26.75,0.64,692.98,119.86,43.98,514.52,0,0.01,0.03,0.44,73.38,0,1.23,-11.78,5.86,8.07,28.98,43.98,66.07,77.82,null,0,158.75,0.75,0,0
NSE:TMCV,C,Tata Motors Ltd,161470.23,438.5,Auto & Auto Ancl - CV,Automobile,35.16,2.77,null,null,-162.06,15.33,1.61,13.21,null,null,421.91,27.12,2.12,306.3,null,null,null,null,null,null,null,null,7.28,5.99,43.16,2.12,null,null,null,null,null,null,null,null
NSE:TMPV,C,Tata Motors Passenger Vehicles Ltd,130207.24,353.6,Auto - 4 Wheelers,Automobile,18.65,0.33,-6.72,143.14,1804.77,1.18,-0.16,2.36,-10.89,-13.98,359.38,4.68,25.75,324.33,0.61,3.15,0.91,-3.42,42.57,-0.02,10.4,-51.55,-17.48,-13.52,9.02,50.46,271.08,114.28,21746,65806,164986,146046,67258,107264
NSE:TATAPOWER,C,Tata Power Company Ltd,116981.38,366.1,Power - Generation/Distribution,Power Generation & Distribution,28.9,1.77,4.06,13.58,-1.34,3.1,0.36,-3.62,-8.25,-11.72,377.53,12.68,12.16,326.35,1.86,1.84,-0.29,1.02,46.86,0,10.52,1.06,-13.81,-0.97,12.18,26.02,265.53,91.03,15943.12,12678.87,79210.29,67209.56,70083.18,53689.45
NSE:TATASTEEL,C,Tata Steel Ltd,234952.46,188.21,Steel,Steel,34.47,1.06,-0.42,142.79,58.57,2.51,5.5,10.82,8.17,19.63,178.33,11.26,1.46,124.74,1.01,0.82,4.25,-2.17,33.19,0,9.64,34.83,10.36,8.88,50.88,1.46,740.81,92.94,33152.23,41622.35,166095.42,149799.72,95643.13,87082.12
NSE:TATATECH,C,Tata Technologies Ltd,26399.03,650.6,IT - ER&D,IT - Software,49.7,5.06,0.68,-17.67,-95.99,7.4,-0.33,0.04,-6,-11.43,653.88,31.18,22.67,597,0.07,0.09,-0.7,1.63,55.22,-0.01,20,-17.29,3.2,3.67,8.98,53.53,103.29,74.86,0,0,1168.51,1150.54,246.73,257.39
