"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"GEOJITFSL","Geojit Financial Services Limited","7(2)","JOEL LAZAR","Promoter Group","Equity Shares","3944","0",,"24305","1831868","Buy","Equity Shares","28249","0.01","23-Jul-2025","23-Jul-2025","24-Jul-2025","Gift","-","-","0","0","0","0","NA","-","25-Jul-2025 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185442_1493056_25072025122138_WEB.xml"
"GEOJITFSL","Geojit Financial Services Limited","7(2)","JERIN LAZAR","Promoter Group","Equity Shares","12","0",,"24306","1831943","Buy","Equity Shares","24318","0.01","23-Jul-2025","23-Jul-2025","24-Jul-2025","Gift","-","-","0","0","0","0","NA","-","25-Jul-2025 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185442_1493056_25072025122138_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","SHARMILA TEKRIWAL","Promoters","Equity Shares","8","0",,"15000","418","Buy","Equity Shares","15008","0.07","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","25-Jul-2025 11:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185440_1493018_25072025113407_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","SHARMILA TEKRIWAL","Promoters","Equity Shares","8","0",,"1000","400","Buy","Equity Shares","1008","0","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","25-Jul-2025 11:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185440_1493018_25072025113407_WEB.xml"
"AVG","AVG Logistics Limited","7(2)","Asha Gupta","Promoters","Equity Shares","5482500","36.41",,"2910000","829100000","Pledge","Equity Shares","2572500","17.08","22-Jul-2025","22-Jul-2025","24-Jul-2025","Pledge Creation","-","-","0","0","0","0","NA","-","25-Jul-2025 11:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185438_1493000_25072025112350_WEB.xml"
"PAISALO","Paisalo Digital Limited","7(2)","EQUILIBRATED VENTURE CFLOW PRIVATE LIMITED","Promoter Group","Equity Shares","141388994","15.67",,"7470000","248563367","Buy","Equity Shares","148858994","16.5","24-Jul-2025","25-Jul-2025","25-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","25-Jul-2025 10:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185433_1492956_25072025103658_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Rajesh Jejurikar","Director","Equity Shares","133062","0.01",,"42694","139220865","Buy","Equity Shares","175756","0.01","24-Jul-2025","24-Jul-2025","24-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","24-Jul-2025 23:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185430_1492928_24072025111354_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mahindra & Mahindra Employees' Stock Option Trust","Other","Equity Shares","42520584","3.42",,"48921","244605","Sell","Equity Shares","42471663","3.42","24-Jul-2025","24-Jul-2025","24-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","24-Jul-2025 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185423_1492771_24072025071840_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Valluri Varaprasada Rao","Promoters","Equity Shares","17372","0.19",,"3372","110500","Sell","Equity Shares","14000","0.15","30-Jun-2025","30-Jun-2025","23-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Jul-2025 18:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185420_1492633_24072025062150_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Valluri Varaprasada Rao","Promoters","Equity Shares","17979","0.2",,"607","20237","Sell","Equity Shares","17372","0.19","19-May-2025","19-May-2025","23-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Jul-2025 18:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185420_1492633_24072025062150_WEB.xml"
"MASTEK","Mastek Limited","7(2)","Arun Agarwal","Employees/Designated Employees","Equity Shares","5500","0.02",,"1000","2565000","Sell","Equity Shares","4500","0.01","23-Jul-2025","23-Jul-2025","24-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","24-Jul-2025 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185418_1492374_24072025045526_WEB.xml"
"DBCORP","D.B.Corp Limited","7(2)","D B Power Limited","Promoter Group","Equity Shares","961100","0.54",,"21915","6243086","Buy","Equity Shares","983015","0.55","22-Jul-2025","22-Jul-2025","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Jul-2025 15:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185409_1492166_24072025030151_WEB.xml"
"DBCORP","D.B.Corp Limited","7(2)","D B Power Limited","Promoter Group","Equity Shares","983015","0.55",,"21466","6050780","Buy","Equity Shares","1004481","0.56","23-Jul-2025","23-Jul-2025","24-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Jul-2025 15:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185409_1492166_24072025030151_WEB.xml"
"EMKAY","Emkay Global Financial Services Limited","7(2)","Nirav Sheth","-","Equity Shares","246000","0.97",,"68406","4305295","Buy","Equity Shares","314406","1.23","21-Jul-2025","23-Jul-2025","23-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","24-Jul-2025 13:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185406_1492084_24072025014544_WEB.xml"
"TEJASCARGO","Tejas Cargo India Limited","7(2)","Manish Bindal","Promoters","Equity Shares","8866606","37.11",,"3200","706438","Buy","Equity Shares","8869806","37.12","22-Jul-2025","22-Jul-2025","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","24-Jul-2025 13:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185405_1492062_24072025011413_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Sreedhar T V S","-","Equity Shares","10130","0",,"10080","8009770","Sell","Equity Shares","50","0","21-Jul-2025","21-Jul-2025","22-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Jul-2025 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185400_1491606_23072025062756_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Shishir Janardhan Kunder","-","Equity Shares","3738","0",,"278","212809","Sell","Equity Shares","3460","0","21-Jul-2025","21-Jul-2025","23-Jul-2025","Market Sale","-","-","0","0","0","0","BSE","-","23-Jul-2025 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185400_1491606_23072025062756_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Shishir Janardhan Kunder","-","Equity Shares","5460","0",,"1722","1370109","Sell","Equity Shares","3738","0","21-Jul-2025","21-Jul-2025","22-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Jul-2025 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185400_1491606_23072025062756_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2079960","9.57",,"2000","407","Buy","Equity Shares","2081960","9.59","-","-","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185397_1491531_23072025055123_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2079960","9.57",,"7000","409","Buy","Equity Shares","2086960","9.61","-","-","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185397_1491531_23072025055123_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2079960","9.57",,"1000","409","Buy","Equity Shares","2080960","9.58","-","-","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185397_1491531_23072025055123_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2079960","9.57",,"6000","409","Buy","Equity Shares","2085960","9.61","-","-","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185397_1491531_23072025055123_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2079960","9.57",,"1000","408","Buy","Equity Shares","2080960","9.58","-","-","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185397_1491531_23072025055123_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2079960","9.57",,"9000","409","Buy","Equity Shares","2088960","9.62","-","-","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185397_1491531_23072025055123_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2079960","9.57",,"1000","410","Buy","Equity Shares","2080960","9.58","-","-","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185397_1491531_23072025055123_WEB.xml"
"MAITHANALL","Maithan Alloys Limited","7(2)","Sheela Devi Agarwalla","Promoter Group","Equity Shares","6350337","21.81",,"121967","0","Sell","Equity Shares","6228370","21.39","23-Jul-2025","23-Jul-2025","23-Jul-2025","Gift","-","-","0","0","0","0","NA","-","23-Jul-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185396_1491521_23072025054818_WEB.xml"
"MAITHANALL","Maithan Alloys Limited","7(2)","Subodh Agarwalla","Promoter Group","Equity Shares","25000","0.09",,"25000","0","Buy","Equity Shares","50000","0.17","23-Jul-2025","23-Jul-2025","23-Jul-2025","Gift","-","-","0","0","0","0","NA","-","23-Jul-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185396_1491521_23072025054818_WEB.xml"
"MAITHANALL","Maithan Alloys Limited","7(2)","Subhas Chandra Agarwalla","Promoters","Equity Shares","6186803","21.25",,"41567","0","Buy","Equity Shares","6228370","21.39","23-Jul-2025","23-Jul-2025","23-Jul-2025","Gift","-","-","0","0","0","0","NA","-","23-Jul-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185396_1491521_23072025054818_WEB.xml"
"MAITHANALL","Maithan Alloys Limited","7(2)","Sudhanshu Agarwalla","Promoter Group","Equity Shares","25000","0.09",,"25000","0","Buy","Equity Shares","50000","0.17","23-Jul-2025","23-Jul-2025","23-Jul-2025","Gift","-","-","0","0","0","0","NA","-","23-Jul-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185396_1491521_23072025054818_WEB.xml"
"MAITHANALL","Maithan Alloys Limited","7(2)","Mitu Agarwalla","Promoter Group","Equity Shares","10000","0.03",,"15000","0","Buy","Equity Shares","25000","0.09","23-Jul-2025","23-Jul-2025","23-Jul-2025","Gift","-","-","0","0","0","0","NA","-","23-Jul-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185396_1491521_23072025054818_WEB.xml"
"MAITHANALL","Maithan Alloys Limited","7(2)","Tripti Agarwalla","Promoter Group","Equity Shares","9600","0.03",,"15400","0","Buy","Equity Shares","25000","0.09","23-Jul-2025","23-Jul-2025","23-Jul-2025","Gift","-","-","0","0","0","0","NA","-","23-Jul-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185396_1491521_23072025054818_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Manoranjan Suresh Sahoo","-","Equity Shares","44740","0",,"2000","8153767","Sell","Equity Shares","42740","0","22-Jul-2025","22-Jul-2025","23-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185394_1491474_23072025052410_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Ignatius Navil Noronha","Director","Equity Shares","12582414","1.93",,"10000","40352400","Sell","Equity Shares","12572414","1.93","22-Jul-2025","22-Jul-2025","22-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Jul-2025 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185394_1491474_23072025052410_WEB.xml"
"FONEBOX","Fonebox Retail Limited","7(2)","RUSHI MANISHKUMAR PATEL","Immediate relative","Equity Shares","5000","0.05",,"4000","376800","Buy","Equity Shares","9000","0.09","21-Jul-2025","22-Jul-2025","23-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185392_1491421_23072025045557_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Ashiq Hassanali","Employees/Designated Employees","ADR/GDR/FCCB","12870","0",,"12870","3279202","Sell","ADR/GDR/FCCB","Nil","0","21-Jul-2025","21-Jul-2025","22-Jul-2025","Market Sale","-","-","0","0","0","0","-","-","23-Jul-2025 16:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185389_1491327_23072025041815_WEB.xml"
"INFY","Infosys Limited","7(2)","Bela Parikh","Immediate relative","Equity Shares","2754","0",,"860","1373110","Buy","Equity Shares","3614","0","13-Jun-2025","13-Jun-2025","21-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","23-Jul-2025 16:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185388_1491325_23072025041735_WEB.xml"
"GGBL","Ganesh Green Bharat Limited","7(2)","Dhanjibhai Narsinhbhai Patel","Promoter Group","Equity Shares","240000","0.97",,"2400","1291928","Sell","Equity Shares","237600","0.96","14-Jul-2025","18-Jul-2025","22-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Jul-2025 15:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185385_1491259_23072025034609_WEB.xml"
"GEOJITFSL","Geojit Financial Services Limited","7(2)","BNP Paribas SA","Promoters","Equity Shares","62659283","22.45",,"18547","1410038","Sell","Equity Shares","62640736","22.44","21-Jul-2025","21-Jul-2025","23-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Jul-2025 15:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185384_1491235_23072025032823_WEB.xml"
"SUNREST","Sunrest Lifescience Limited","7(2)","NIKHILKUMAR YASHVNTLAL THAKKAR","Promoters","Equity Shares","750000","17.48",,"148800","7514400","Sell","Equity Shares","601200","14.01","22-Jul-2025","22-Jul-2025","23-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Jul-2025 15:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185381_1491228_23072025032421_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Anandh Baheti","Key Managerial Personnel","Equity Shares","200","0",,"869","8690","Buy","Equity Shares","1069","0","23-Jul-2025","23-Jul-2025","23-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","23-Jul-2025 11:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185375_1490994_23072025114058_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Manisha Bakshi","Employees/Designated Employees","Equity Shares","298","0",,"278","2780","Buy","Equity Shares","576","0","23-Jul-2025","23-Jul-2025","23-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","23-Jul-2025 11:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185375_1490994_23072025114058_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Kiran Chaudhari","Employees/Designated Employees","Equity Shares","137","0",,"139","1390","Buy","Equity Shares","276","0","23-Jul-2025","23-Jul-2025","23-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","23-Jul-2025 11:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185375_1490994_23072025114058_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Sudhakar Natekar","Employees/Designated Employees","Equity Shares","137","0",,"139","1390","Buy","Equity Shares","276","0","23-Jul-2025","23-Jul-2025","23-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","23-Jul-2025 11:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185375_1490994_23072025114058_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Vinay Bhanot","-","Equity Shares","26","0",,"14430","22562748","Buy","Equity Shares","14456","0","17-Jul-2025","17-Jul-2025","21-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","22-Jul-2025 20:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185373_1490865_22072025084428_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Saurabh Kumar","-","Equity Shares","Nil","0",,"8658","13537649","Buy","Equity Shares","8658","0","17-Jul-2025","17-Jul-2025","21-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","22-Jul-2025 20:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185373_1490865_22072025084428_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","RAHUL SOOD","-","Equity Shares","Nil","0",,"1828","2858261","Buy","Equity Shares","1828","0","17-Jul-2025","17-Jul-2025","21-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","22-Jul-2025 20:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185373_1490865_22072025084428_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","4359622","0.16",,"24916","38958658","Sell","Equity Shares","4334706","0.16","17-Jul-2025","17-Jul-2025","21-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","22-Jul-2025 20:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185371_1490853_22072025083412_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Ganesh Gangadhar Kota","Employees/Designated Employees","Equity Shares","2484","0",,"336","1015930","Pledge Revoke","Equity Shares","2484","0","16-Jun-2025","16-Jun-2025","22-Jul-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","22-Jul-2025 19:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185366_1490784_22072025072902_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Rajeshkumar Jain","-","Equity Shares","289734","0.04",,"3000","12069900","Sell","Equity Shares","286734","0.04","21-Jul-2025","21-Jul-2025","21-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","22-Jul-2025 17:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185363_1490514_22072025054536_WEB.xml"
"YASHOPTICS","Yash Optics & Lens Limited","7(2)","TARUN MANHARLAL DOSHI","Promoters","Equity Shares","5479571","22.13",,"1600","135200","Buy","Equity Shares","5481171","22.13","21-Jul-2025","21-Jul-2025","22-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","22-Jul-2025 17:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185361_1490507_22072025054451_WEB.xml"
"GEOJITFSL","Geojit Financial Services Limited","7(2)","BNP Paribas SA","Promoters","Equity Shares","62860634","22.52",,"201351","15370898","Sell","Equity Shares","62659283","22.45","18-Jul-2025","18-Jul-2025","22-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","22-Jul-2025 17:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185359_1490485_22072025053637_WEB.xml"
"INFINIUM","Infinium Pharmachem Limited","7(2)","Bhadabhai Kacharabhai Madhani","Promoter Group","Equity Shares","1472720","9.45",,"1472720","0","Sell","Equity Shares","Nil","0","21-Jul-2025","21-Jul-2025","21-Jul-2025","Gift","-","-","0","0","0","0","NSE","-","21-Jul-2025 19:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185356_1489665_21072025074843_WEB.xml"
"INFINIUM","Infinium Pharmachem Limited","7(2)","Krunal Pravinbhai Madhani","Promoter Group","Equity Shares","Nil","0",,"779156","0","Buy","Equity Shares","779156","5","21-Jul-2025","21-Jul-2025","21-Jul-2025","Gift","-","-","0","0","0","0","NSE","-","21-Jul-2025 19:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185356_1489665_21072025074843_WEB.xml"
"INFINIUM","Infinium Pharmachem Limited","7(2)","Pravin Bhadabhai Madhani","Promoters","Equity Shares","1901840","12.2",,"1472720","0","Buy","Equity Shares","3374560","21.65","21-Jul-2025","21-Jul-2025","21-Jul-2025","Gift","-","-","0","0","0","0","NSE","-","21-Jul-2025 19:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185356_1489665_21072025074843_WEB.xml"
"INFINIUM","Infinium Pharmachem Limited","7(2)","Varshaben Pravinbhai Madhani","Promoter Group","Equity Shares","1145840","7.35",,"779156","0","Sell","Equity Shares","366684","2.35","21-Jul-2025","21-Jul-2025","21-Jul-2025","Gift","-","-","0","0","0","0","NSE","-","21-Jul-2025 19:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185356_1489665_21072025074843_WEB.xml"
"GANECOS","Ganesha Ecosphere Limited","7(2)","GPL Finance Limited","Promoter Group","Equity Shares","2323809","9.13",,"1339000","1039327500","Buy","Equity Shares","3662809","13.67","17-Jul-2025","17-Jul-2025","17-Jul-2025","Conversion of security","-","-","0","0","0","0","NA","-","21-Jul-2025 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185355_1489655_21072025074644_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Ignatius Navil Noronha","Director","Equity Shares","12587414","1.93",,"5000","20180000","Sell","Equity Shares","12582414","1.93","18-Jul-2025","18-Jul-2025","19-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","21-Jul-2025 17:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185351_1489255_21072025055905_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Bhuvan Reddy","-","Equity Shares","43431","0",,"1000","4050000","Sell","Equity Shares","42431","0","18-Jul-2025","18-Jul-2025","21-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","21-Jul-2025 17:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185351_1489255_21072025055905_WEB.xml"
"SONATSOFTW","Sonata Software Limited","7(2)","Sonata Software Limited Employee Welfare Trust","Other","Equity Shares","2777851","0.99",,"55360","24238465","Buy","Equity Shares","2833211","1.01","17-Jul-2025","18-Jul-2025","21-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","21-Jul-2025 16:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185348_1488830_21072025040052_WEB.xml"
"NIITLTD","NIIT Limited","7(2)","Udai Singh","-","Equity Shares","168151","0.12",,"75000","3017000","Buy","Equity Shares","243151","0.18","16-Jul-2025","16-Jul-2025","17-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","21-Jul-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185346_1488757_21072025033524_WEB.xml"
"NIITLTD","NIIT Limited","7(2)","Rajan Venkataraman","-","Equity Shares","1","0",,"100000","4079000","Buy","Equity Shares","100001","0.07","16-Jul-2025","16-Jul-2025","17-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","21-Jul-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185346_1488757_21072025033524_WEB.xml"
"NIITLTD","NIIT Limited","7(2)","Sapnesh Kumar Lalla","Director","Equity Shares","575052","0.42",,"57000","2325660","Buy","Equity Shares","632052","0.46","16-Jul-2025","16-Jul-2025","17-Jul-2025","ESOP","-","-","0","0","0","0","NA","-","21-Jul-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185346_1488757_21072025033524_WEB.xml"
"LEMERITE","Le Merite Exports Limited","7(2)","Ashadevi Lath","Promoter Group","Equity Shares","6464400","26.6",,"30000","9961500","Sell","Equity Shares","6434400","26.48","17-Jul-2025","17-Jul-2025","18-Jul-2025","Market Sale","-","-","0","0","0","0","NSE","-","21-Jul-2025 15:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185344_1488738_21072025032859_WEB.xml"
"DHARIWAL","Dhariwalcorp Limited","7(2)","Shakshi Dhariwal","Director","Warrants","Nil","0",,"300000","11511750","Buy","Warrants","300000","66.67","16-Jul-2025","16-Jul-2025","17-Jul-2025","Preferential Offer","-","-","0","0","0","0","NA","-","21-Jul-2025 14:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185340_1488616_21072025023239_WEB.xml"
"DHARIWAL","Dhariwalcorp Limited","7(2)","Dilip Dhariwal","Director","Warrants","Nil","0",,"50000","1918625","Buy","Warrants","50000","11.11","16-Jul-2025","16-Jul-2025","17-Jul-2025","Preferential Offer","-","-","0","0","0","0","NA","-","21-Jul-2025 14:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185340_1488616_21072025023239_WEB.xml"
"SAKHTISUG","Sakthi Sugars Limited","7(2)","ABT INVESTMENTS (INDIA) PRIVATE LIMITED","Promoter Group","Equity Shares","66473540","55.93",,"13000000","330850000","Pledge Revoke","Equity Shares","66473540","55.93","16-Jul-2025","16-Jul-2025","18-Jul-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","19-Jul-2025 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185337_1487893_19072025052251_WEB.xml"
"GENUSPOWER","Genus Power Infrastructures Limited","7(2)","SHARDA TODI","Promoters","Equity Shares","2369927","0.78",,"500000","188550000","Pledge","Equity Shares","2369927","0.78","17-Jul-2025","17-Jul-2025","19-Jul-2025","Pledge Creation","-","-","0","0","0","0","NA","-","19-Jul-2025 16:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185334_1487804_19072025042035_WEB.xml"
"FONEBOX","Fonebox Retail Limited","7(2)","RUSHI MANISHKUMAR PATEL","Immediate relative","Equity Shares","4000","0.04",,"1000","90500","Buy","Equity Shares","5000","0.05","17-Jul-2025","17-Jul-2025","19-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","19-Jul-2025 14:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185332_1487669_19072025025110_WEB.xml"
"SONATSOFTW","Sonata Software Limited","7(2)","Sonata Software Limited Employee Welfare Trust","Other","Equity Shares","2695007","0.96",,"82844","36001762","Buy","Equity Shares","2777851","0.99","14-Jul-2025","16-Jul-2025","16-Jul-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Jul-2025 20:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185329_1487284_18072025081920_WEB.xml"
