companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:ABLBL,C,Aditya Birla Lifestyle Brands Ltd,13751.48,112.67,Textiles - Readymade Apparel,Retail,94.68,1.68,null,null,194.41,10.49,1.34,-4.83,-16.18,-16.87,110.09,13.28,35.62,100.86,2.67,null,null,null,46.6,null,11.58,null,14.98,9.58,11.71,35.62,1919.75,96.01,17.14,13,3550.57,null,3496.03,null
NSE:BIRLAMONEY,S,Aditya Birla Money Ltd,756.66,133.9,Finance - Capital Markets,Stock/ Commodity Brokers,15.41,1.73,-6.07,-39.65,40.1,2.83,7.84,-2.36,-14.47,-21.17,125.55,8.14,35.77,115.01,6.58,8.02,-0.23,-0.3,73.53,0,9.74,-40.02,12.27,12.78,16.56,55.86,-170.1,-56.74,null,0.07,42.18,36.26,1761.4,1374.63
NSE:ABREL,C,Aditya Birla Real Estate Ltd,15489.96,1386.8,Realty - National,Realty,null,21.53,-56.09,16272.44,-322.62,4.1,2.58,-10.64,-20.53,-21.44,1332.29,-91.79,45.33,1186,1.45,0.27,1.57,-0.58,50.21,0,-4.31,-362.93,-17.04,-60.3,16.98,55.82,869.6,-4371.21,44.55,26.3,1413.72,3734.73,5489.91,2501.69
NSE:ABSLAMC,C,Aditya Birla Sun Life AMC Ltd,25102.12,869.25,Finance - AMC,Finance,24.69,13.83,11.97,11.54,11.69,7.05,6.92,5.87,15.91,1.42,804.19,23.21,4.11,556.45,0.02,0,-0.73,1.02,74.82,-0.08,37.33,11.94,3.63,7.41,56.47,4.51,76.13,71.64,null,1.42,113.48,112.14,68.75,0
NSE:CPPLUS,C,Aditya Infotech Ltd,18533.17,1573.3,Trading,Electronics,70.21,4.91,null,null,37.15,11.63,5.68,10.82,-4.81,46.82,1461.25,44.44,10.26,1015,0.08,1.37,null,null,76.91,null,21.81,null,23.86,37.32,54.29,10.26,7.74,11,47.96,30.16,785.25,null,127.57,436.28
BSE:AVL,S,Aditya Vision Ltd,6544.07,506.75,Retail - Electronics,Retail,58.65,2.58,17.9,14.18,114.7,10.24,4.34,4.01,-5.32,14.95,495.04,31.77,15.27,328.25,0.65,3.07,8.71,3.99,47.14,-6.09,17.93,11.35,41.83,27.62,54.38,15.27,-38.69,-20,5.75,6.25,null,244.14,412.56,318.65
NSE:ADOR,C,Ador Welding Ltd,1824.69,1048.5,Welding Equipments,Capital Goods-Non Electrical Equipment,27.7,1.61,1.9,-2.18,6.84,3.71,-0.64,1.98,2.37,14.19,1041.89,18.85,16.76,788,0,0.01,2.26,0.07,53.73,0.49,19.51,3.03,2.5,5.17,33.1,40.75,228.33,134.51,3.31,4.11,203.64,157.15,1.97,44.69
BSE:ADVAIT,C,Advait Energy Transitions Limited,1908.57,1745,EPC,Cables,40.26,2.81,157.42,86.73,64.53,8.34,5.71,26.39,0.73,-7.11,1531.68,25.36,27.86,1020,0.27,0.33,0.35,0.02,66.8,-2.66,28.86,87.32,34.53,114.44,71.08,27.86,144.99,91.91,2.66,1.78,39.79,41.53,62.16,56.83
NSE:ADVANCE,C,Advance Agrolife Ltd,889.07,138.3,Pesticides/Agrochemicals,Agro Chemicals,34.66,1.77,null,null,null,3.03,3.88,11.6,-0.43,null,131.07,20.29,10.19,102,0.8,null,null,null,69.89,null,22.41,null,null,null,35.59,10.19,22.28,11.99,11,9.43,null,null,80.45,null
NSE:ADVENZYMES,C,Advanced Enzyme Technologies Ltd,3368.44,300.95,Seeds/Tissue Culture/Bio Technology,Pharmaceuticals,22.11,4.75,13.07,13.1,-3.47,2.27,4.7,3.7,-11.89,-2.02,285.16,16.01,17.88,257.9,0.02,0.03,-2.67,13.28,43.04,0.11,14.42,17.81,-6.82,1.68,16.61,47.33,106.36,73.29,31.03,21.71,682.97,660.11,34.66,47.31
NSE:ADVANIHOTR,S,Advani Hotels & Resorts (India) Ltd,519.97,56.25,Hotels,Hotels & Restaurants,22.06,4.97,-1.66,-7.59,1200,6.99,0.43,2.25,-0.18,-1.4,57.46,15.4,17.53,52.29,0.01,0.03,-0.05,0,50.25,0,42.16,-8.05,137.59,2.7,7.86,38.46,80.19,61.24,0.21,0,null,44.49,0.43,1.98
NSE:ADVENTHTL,C,Advent Hotels International Ltd,1138.03,210.97,Hotels,Hotels & Restaurants,20.21,3.1,null,null,2615.7,1.31,-1.66,-4.85,-35.81,null,201.76,14.93,38.86,167.77,0.71,null,null,null,47.69,null,6.56,null,49.03,4.02,25.75,38.86,8636.31,1773.23,162.85,160.36,null,null,620.17,null
NSE:AEGISLOG,C,Aegis Logistics Ltd,24575.27,700.15,Logistics,Trading,31.94,3.3,7.95,37.2,-4.67,4.15,1.36,-3.33,-12.44,-3.18,694.4,20.24,25.83,639.1,0.41,0.54,-1.29,-0.35,58.1,0,16.15,33.15,-24.79,1.08,9.85,32.3,70.89,50.84,435.64,1307.79,6389.8,4139.27,2438.78,2665.43
NSE:AEGISVOPAK,C,Aegis Vopak Terminals Ltd,23738.72,214.25,Miscellaneous,Logistics,111.01,33.62,null,null,14.06,4.98,-1.63,-7,-21.79,-13.1,217.77,49.18,29.4,198,0.42,2.49,null,null,86.93,null,5.63,null,5.26,22.28,7.68,29.4,375.83,104.48,138.98,157.09,6268.22,null,2004.38,3272.95
NSE:AEQUS,C,Aequs Ltd,9522.78,141.99,Engineering - Light - General,Engineering,null,10.3,null,null,-107.29,5.6,1.29,0.29,null,null,138.37,140.91,14.02,131.14,1.1,null,null,null,59.08,null,-2.34,null,15.83,50.77,8.44,14.02,null,null,395.09,175.39,null,null,785.05,735.93
NSE:AEROENTER,C,Aeroflex Enterprises Ltd,896.2,79.25,Miscellaneous,Steel,17.46,1.36,23.63,2.05,21.38,1.23,-0.44,-0.35,-12.38,-16.7,80.09,7.15,30.52,72.14,0.06,0.4,0.04,0,51.59,0,14.28,3.76,11.06,21.69,9.7,47.76,172.98,136.37,25.14,9.84,304.74,144.21,46.1,63.06
NSE:AEROFLEX,C,Aeroflex Industries Ltd,2466.38,186.38,Stainless Steel,Steel,49.05,6.05,12.55,-4.27,15.88,5.93,0.39,3.73,0.77,0.01,178.83,28.65,18.28,148.01,0.03,0.39,-2.11,-0.59,66.99,0,18.2,-3.7,9.04,21.13,25.67,31.61,50.63,33.63,25.08,9.84,174.9,83.01,9.3,0.12
NSE:AETHER,C,Aether Industries Ltd,12827.19,966.9,Speciality Chemicals,Chemicals,59.43,11.73,52.73,102.23,19.5,5.5,-4.39,-2.28,24.79,28.32,991.35,36.16,10.94,725,0.09,0.01,0.76,2.48,74.98,-6.79,11.95,91.68,13.22,44.36,33.1,20.18,63.18,41.5,556.5,363.33,1196.5,859.6,215.19,183
BSE:AFCOM,S,Afcom Holdings Ltd,2398.26,920,Air Transport Service,Logistics,18.93,4.86,null,null,35.51,7.61,12.8,8.5,4.78,8.52,779.54,13.73,19.61,618,0.12,0.01,0.99,-3.46,42.59,-0.14,53.47,null,25.69,207.81,48.87,27.5,56.55,39.81,0,0,null,null,33.62,18.48
NSE:AFCONS,C,Afcons Infrastructure Ltd,12219.64,332.25,Construction - Civil/Turnkey,Infrastructure Developers & Operators,27.14,0.97,-3.12,-13.55,-7.87,2.26,0.08,-7.95,-20.23,-21.68,339.53,10.37,33.61,319,0.66,0.59,8.49,-5.19,50.17,0,14.38,-12.68,-0.42,-7.33,3.79,41.91,-27.16,-9.75,41.66,32.85,2596.85,2783.79,3565.23,2523.24
NSE:AFFLE,C,Affle 3i Ltd,21965.19,1560.5,Advertisement,IT - Software,49.94,8.49,19.21,19.69,7.97,6.73,-5.27,-9.99,-10.19,-21.5,1614.11,37.46,28.77,1246,0.01,0.07,1.78,1.29,54.95,-0.09,16.43,20.4,10.94,19.25,24.96,28.77,111.55,88.17,0,111.47,1413.47,1242.49,38.43,182.63
NSE:AGARIND,C,Agarwal Industrial Corporation Ltd,1043.9,697.9,Petrochem - Others,Petrochemicals,12.54,0.47,-4.09,-32.35,-7.98,1.58,-0.89,0.92,-16.32,-26.69,702.85,8.37,36.99,649,0.63,0.39,-0.38,-1.22,57.2,0,12.3,-28.49,-58.76,-24.83,7.1,49.63,86.3,49.39,14.61,15.55,727.64,589.13,416.71,360.82
NSE:AGI,C,AGI Greenpac Ltd,3947.19,610.1,Packaging - FMCG/Consumers,Packaging,11.86,1.5,null,null,-5.96,1.78,3.3,-10.82,-21.89,-32.25,633.96,7.68,39.53,585.25,0.21,0.78,1.38,-1.07,60.24,0,18.64,null,5.34,-3.76,4.25,53.35,132.92,69.81,100.87,103.22,2032.25,null,459.9,1157.76
